year,stfips,ctyfips,fips,name,avg_age,farms,acres
1850,39,0,39000,OHIO,NA,143807,17997493
1860,39,0,39000,OHIO,NA,173383,20472141
1870,39,0,39000,OHIO,NA,195953,21712420
1880,39,0,39000,OHIO,NA,247189,24529226
1890,39,0,39000,OHIO,NA,251430,23352408
1900,39,0,39000,OHIO,NA,276719,24501985
1910,39,0,39000,OHIO,NA,272045,24105708
1920,39,0,39000,OHIO,NA,256695,23515888
1925,39,0,39000,OHIO,NA,244703,22219248
1930,39,0,39000,OHIO,NA,244703,21514059
1935,39,0,39000,OHIO,NA,255146,22857692
1940,39,0,39000,OHIO,50.8,233783,21907523
1945,39,0,39000,OHIO,50.6,220575,21927844
1950,39,0,39000,OHIO,NA,199359,20969411
1954,39,0,39000,OHIO,NA,177074,19991586
1959,39,0,39000,OHIO,50.9,140353,18506796
1964,39,0,39000,OHIO,51.3,120381,17619167
1969,39,0,39000,OHIO,50.299999237060504,111332,17111460
1974,39,0,39000,OHIO,50.5,92158,15668238
1978,39,0,39000,OHIO,49.4,89131,15788833
1982,39,0,39000,OHIO,49.8,86934,15404054
1987,39,0,39000,OHIO,51.1,79277,14997381
1992,39,0,39000,OHIO,52,70711,14247969
1997,39,0,39000,OHIO,51.900001525879,68591,14103085
2002,39,0,39000,Ohio,53.8,77797,14583435
2007,39,0,39000,OHIO,55.7,75861,13956563
2012,39,0,39000,Ohio,55.7,75462,13960604
1850,39,1,39001,ADAMS,NA,1509,221904
1860,39,1,39001,ADAMS,NA,1880,272241
1870,39,1,39001,ADAMS,NA,2193,289491
1880,39,1,39001,ADAMS,NA,2837,329767
1890,39,1,39001,ADAMS,NA,2870,313535
1900,39,1,39001,ADAMS,NA,3533,325125
1910,39,1,39001,ADAMS,NA,3634,327409
1920,39,1,39001,ADAMS,NA,3650,321892
1925,39,1,39001,ADAMS,NA,3087,309704
1930,39,1,39001,ADAMS,NA,3087,296669
1935,39,1,39001,ADAMS,NA,3080,311427
1940,39,1,39001,ADAMS,49.7,2684,304368
1945,39,1,39001,ADAMS,50.8,2724,300605
1950,39,1,39001,ADAMS,NA,2601,301043
1954,39,1,39001,ADAMS,NA,2304,280085
1959,39,1,39001,ADAMS,52.7,2052,272554
1964,39,1,39001,ADAMS,52.5,1878,253661
1969,39,1,39001,ADAMS,50.9000015258789,1970,270641
1974,39,1,39001,ADAMS,50.9000015258789,1742,254153
1978,39,1,39001,ADAMS,49.3,1569,224173
1982,39,1,39001,ADAMS,50,1483,211247
1987,39,1,39001,ADAMS,52.1,1412,214863
1992,39,1,39001,ADAMS,53,1354,196365
1997,39,1,39001,ADAMS,51.700000762939005,1315,194701
2002,39,1,39001,Ohio\Adams,54.7,1320,198277
2007,39,1,39001,ADAMS,57.1,1379,183961
2012,39,1,39001,Ohio\Adams,57.1,1351,172408
1850,39,3,39003,ALLEN,NA,1146,138025
1860,39,3,39003,ALLEN,NA,1804,194975
1870,39,3,39003,ALLEN,NA,2153,223225
1880,39,3,39003,ALLEN,NA,2637,249704
1890,39,3,39003,ALLEN,NA,2612,233962
1900,39,3,39003,ALLEN,NA,2858,245283
1910,39,3,39003,ALLEN,NA,2939,240472
1920,39,3,39003,ALLEN,NA,2909,241488
1925,39,3,39003,ALLEN,NA,2722,228249
1930,39,3,39003,ALLEN,NA,2722,230424
1935,39,3,39003,ALLEN,NA,3016,235791
1940,39,3,39003,ALLEN,49.3,2574,225630
1945,39,3,39003,ALLEN,49.8,2511,227038
1950,39,3,39003,ALLEN,NA,2560,227944
1954,39,3,39003,ALLEN,NA,2097,215018
1959,39,3,39003,ALLEN,50.4,1755,206047
1964,39,3,39003,ALLEN,50.2,1659,211196
1969,39,3,39003,ALLEN,48.7000007629395,1611,215862
1974,39,3,39003,ALLEN,50.299999237060504,1354,205706
1978,39,3,39003,ALLEN,49.6,1244,195604
1982,39,3,39003,ALLEN,49.6,1202,197256
1987,39,3,39003,ALLEN,50.8,1148,201190
1992,39,3,39003,ALLEN,51,978,194022
1997,39,3,39003,ALLEN,53.59999847412101,918,189906
2002,39,3,39003,Ohio\Allen,55.2,968,188150
2007,39,3,39003,ALLEN,56.9,946,187238
2012,39,3,39003,Ohio\Allen,56.9,904,183186
1850,39,5,39005,ASHLAND,NA,2235,243448
1860,39,5,39005,ASHLAND,NA,2118,243974
1870,39,5,39005,ASHLAND,NA,2556,256086
1880,39,5,39005,ASHLAND,NA,2616,259715
1890,39,5,39005,ASHLAND,NA,2776,255128
1900,39,5,39005,ASHLAND,NA,2631,254689
1910,39,5,39005,ASHLAND,NA,2667,258525
1920,39,5,39005,ASHLAND,NA,2512,252142
1925,39,5,39005,ASHLAND,NA,2341,233904
1930,39,5,39005,ASHLAND,NA,2341,232530
1935,39,5,39005,ASHLAND,NA,2543,249304
1940,39,5,39005,ASHLAND,51.3,2336,241910
1945,39,5,39005,ASHLAND,50.2,2283,242066
1950,39,5,39005,ASHLAND,NA,2097,231056
1954,39,5,39005,ASHLAND,NA,2048,231503
1959,39,5,39005,ASHLAND,51.1,1676,214151
1964,39,5,39005,ASHLAND,51,1471,207329
1969,39,5,39005,ASHLAND,49.2000007629395,1476,205255
1974,39,5,39005,ASHLAND,50.299999237060504,1219,187914
1978,39,5,39005,ASHLAND,47.8,1216,201040
1982,39,5,39005,ASHLAND,48.2,1185,188813
1987,39,5,39005,ASHLAND,50.3,1078,179361
1992,39,5,39005,ASHLAND,51,953,171129
1997,39,5,39005,ASHLAND,52.400001525879,929,163948
2002,39,5,39005,Ohio\Ashland,52.8,1089,161100
2007,39,5,39005,ASHLAND,55.1,1058,150534
2012,39,5,39005,Ohio\Ashland,55.1,1034,152972
1850,39,7,39007,ASHTABULA,NA,2243,263196
1860,39,7,39007,ASHTABULA,NA,2477,271082
1870,39,7,39007,ASHTABULA,NA,3700,363911
1880,39,7,39007,ASHTABULA,NA,4637,432204
1890,39,7,39007,ASHTABULA,NA,4856,391572
1900,39,7,39007,ASHTABULA,NA,5038,416963
1910,39,7,39007,ASHTABULA,NA,4926,399187
1920,39,7,39007,ASHTABULA,NA,4801,381320
1925,39,7,39007,ASHTABULA,NA,4588,356648
1930,39,7,39007,ASHTABULA,NA,4588,337303
1935,39,7,39007,ASHTABULA,NA,5196,379251
1940,39,7,39007,ASHTABULA,52.3,4746,359767
1945,39,7,39007,ASHTABULA,51.5,4407,360927
1950,39,7,39007,ASHTABULA,NA,3843,331887
1954,39,7,39007,ASHTABULA,NA,3376,313589
1959,39,7,39007,ASHTABULA,51.8,2295,243120
